"Package"|"Version"|"Priority"|"Depends"|"Imports"|"LinkingTo"|"Suggests"|"Enhances"|"License"|"License_is_FOSS"|"License_restricts_use"|"OS_type"|"Archs"|"MD5sum"|"NeedsCompilation"|"File"|"Repository"
"NetCluster"|"0.2"|NA|"stats, sna"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetComp"|"1.6"|NA|"R (>= 2.12.1)"|"gdata"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetData"|"0.3"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetIndices"|"1.4.4"|NA|"R (>= 2.01), MASS"|NA|NA|"LIM"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetOrigin"|"1.0-2"|NA|"R (>= 3.2.2)"|"igraph, Hmisc, colorspace"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetPreProc"|"1.1"|NA|"methods"|"graph"|NA|"bionetdata"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetRep"|"1.0.2"|NA|"R (>= 3.0.2), methods"|"foreach, Rcpp (>= 0.11), statmod, RhpcBLASctl, abind,
RColorBrewer, utils, stats, graphics, grDevices, ref"|"Rcpp, BH, RcppArmadillo (>= 0.4)"|"bigmemory, testthat, knitr, rmarkdown"|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetSim"|"0.9"|NA|"Rcpp (>= 0.9.15)"|NA|"Rcpp"|"igraph"|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetSwan"|"0.1"|NA|"igraph"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NetworkComparisonTest"|"2.0.0"|NA|NA|"qgraph, IsingFit, IsingSampler, reshape2, stats, graphics,
utils"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NeuralNetTools"|"1.4.0"|NA|"R (>= 3.1.1)"|"ggplot2, nnet, reshape2, scales, tidyr"|NA|"caret, neuralnet, RSNNS"|NA|"CC0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Newdistns"|"2.1"|NA|"AdequacyModel"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NightDay"|"1.0.1"|NA|"R(>= 2.9.9), maps"|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Nippon"|"0.6.3-1"|NA|"maptools, sp"|NA|NA|"RColorBrewer, foreign"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NlcOptim"|"0.4"|NA|"MASS, R (>= 2.15.1)"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NlsyLinks"|"2.0.6"|NA|"R (>= 3.0.0), stats"|"lavaan, methods"|NA|"devtools, ggplot2, knitr, plyr, scales, testit, testthat,
xtable"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NoiseFiltersR"|"0.1.0"|NA|"R (>= 3.3.0)"|"RWeka, kknn, nnet, caret, e1071, rpart, randomForest, MASS,
rJava, stats, utils"|NA|"knitr, rmarkdown, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NominalLogisticBiplot"|"0.2"|NA|"R (>= 2.15.1),mirt,gmodels,MASS"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NonpModelCheck"|"2.0"|NA|"R (>= 3.2.0), graphics"|"dr"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NormPsy"|"1.0.3"|NA|"R (>= 2.14.0)"|"lcmm (>= 1.7.1)"|NA|NA|NA|"GPL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NormalGamma"|"1.1"|NA|"optimx , histogram"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NormalLaplace"|"0.2-0"|NA|"R (>= 2.3.0), DistributionUtils, GeneralizedHyperbolic"|NA|NA|"RUnit"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"NostalgiR"|"1.0.2"|NA|"txtplot"|NA|NA|NA|NA|"LGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Nozzle.R1"|"1.1-1"|NA|NA|NA|NA|NA|NA|"LGPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OAIHarvester"|"0.2-1"|NA|NA|"XML, curl, utils"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OBsMD"|"0.1-0.4"|NA|"R(>= 3.02.02)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ODB"|"1.1.1"|NA|"methods, DBI, RJDBC"|NA|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ODMconverter"|"2.1"|NA|"R (>= 2.13.1)"|"XML, xlsx"|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OData"|"0.3"|NA|NA|"XML, RJSONIO, utils"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OECD"|"0.2.2"|NA|NA|"httr (>= 0.6.1), rsdmx (>= 0.4-7), methods (>= 3.2.2), xml2
(>= 0.1.2)"|NA|"knitr, ggplot2, testthat"|NA|"CC0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OIdata"|"1.0"|NA|"RCurl, maps, R (>= 2.10)"|"RCurl, maps"|NA|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OIsurv"|"0.2"|NA|"stats, survival, KMsurv"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OLScurve"|"0.2.0"|NA|"lattice"|NA|NA|"testthat, knitr, lavaan"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ONETr"|"1.0.3"|NA|"XML, RCurl, plyr"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OOmisc"|"1.2"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OPDOE"|"1.0-9"|NA|"gmp"|"mvtnorm, orthopolynom, nlme, crossdes, polynom"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OPI"|"2.5"|NA|"methods"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ORCI"|"1.1"|NA|NA|"BiasedUrn, BlakerCI, PropCIs"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ORCME"|"2.0.2"|NA|"R (>= 2.10)"|"Iso"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ORDER2PARENT"|"1.0"|NA|"splines, Matrix"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ORIClust"|"1.0-1"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ORMDR"|"1.3-2"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OSMscale"|"0.2.9"|NA|NA|"OpenStreetMap, berryFunctions (>= 1.11.0), sp"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OTE"|"1.0"|NA|NA|"randomForest,stats"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OTRselect"|"1.0"|NA|"stats, lars, survival, methods"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OTUtable"|"1.0.0"|NA|"R (>= 2.10)"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OUwie"|"1.50"|NA|"R (>= 3.2.0), ape, nloptr, lattice, grDevices"|"numDeriv, corpcor, phytools, paleotree, phangorn, stats, expm,
corHMM, Rmpfr"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Oarray"|"1.4-5"|NA|"methods"|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OasisR"|"2.0.1"|NA|"R (>= 3.3.1)"|"rgdal (>= 1.1-10), rgeos (>= 0.3-19), spdep (>= 0.6-5), birk
(>= 2.1.0), methods (>= 3.3.1)"|NA|"testthat, knitr"|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OceanView"|"1.0.4"|NA|"plot3D, plot3Drgl, R (>= 3.2)"|"methods, graphics, grDevices, stats, rgl, shape"|NA|NA|NA|"GPL (>= 3.0)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Ohmage"|"2.11-4"|NA|"R (>= 2.14), stats, methods"|"RCurl, RJSONIO"|NA|"XML"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OjaNP"|"0.9-9"|NA|"R (>= 3.0), ICS, ICSNP"|NA|"Rcpp"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OligoSpecificitySystem"|"1.3"|NA|"tcltk,tkrplot"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OmicKriging"|"1.4.0"|NA|"R(>= 2.15.1), doParallel"|"ROCR, irlba, parallel, foreach"|NA|NA|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"Oncotree"|"0.3.3"|NA|"R (>= 2.10), boot"|NA|NA|"lattice"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OneArmPhaseTwoStudy"|"0.1.6"|NA|"methods, stats, Rcpp (>= 0.9.11), R (>= 3.1.0)"|NA|"Rcpp"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OneR"|"2.0"|NA|"R (>= 2.10)"|NA|NA|"knitr, rmarkdown"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OneTwoSamples"|"1.0-3"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OpasnetUtils"|"1.2.0"|NA|NA|"methods, rjson, RCurl, reshape2, triangle, httpRequest,
digest, xtable, ggplot2, rgdal, sp, plyr"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OpenImageR"|"1.0.2"|NA|NA|"Rcpp (>= 0.12.5), shiny, jpeg, png, tiff, utils"|"Rcpp, RcppArmadillo"|"testthat, knitr, rmarkdown, grid, covr"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OpenMPController"|"0.1-2"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OpenMx"|"2.6.9"|NA|"R (>= 3.0.2), digest, MASS, methods, Matrix, Rcpp, parallel"|NA|"Rcpp, RcppEigen, StanHeaders (>= 2.7), BH, rpf (>= 0.45)"|"mvtnorm, numDeriv, roxygen2 (>= 3.1), Rmpi, rpf (>= 0.45),
snowfall, lme4"|NA|"Apache License (== 2.0)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OpenRepGrid"|"0.1.9"|NA|"pvclust"|"methods, grid, colorspace, plyr, stringr, abind, rgl,
GPArotation, psych, XML, tcltk"|NA|"xlsx"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OpenStreetMap"|"0.3.3"|NA|"methods, R (>= 2.10.0)"|"grDevices, ggplot2 (>= 0.9.0), rJava, raster, rgdal, sp"|NA|"colorspace, maptools"|NA|"GPL-2 | file LICENCE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptGS"|"1.1.1"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptHedging"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptInterim"|"3.0.1"|NA|"mvtnorm, clinfun, stats, graphics, R (>= 2.14.1)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptiQuantR"|"0.0.1"|NA|"R (>= 3.2.2)"|"data.table (>= 1.9.4), lubridate (>= 1.3.3)"|NA|"testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptimaRegion"|"0.2"|NA|"R (>= 3.3.0)"|"fields,rsm,nloptr,DepthProc,boot,spam"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptimalCutpoints"|"1.1-3"|NA|NA|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptimalDesign"|"0.1"|NA|NA|NA|NA|NA|"gurobi, slam, Matrix"|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OptionPricing"|"0.1"|NA|NA|NA|NA|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OrdFacReg"|"1.0.6"|NA|"survival, eha, MASS"|"stats"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OrdLogReg"|"1.1"|NA|"LogicReg"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OrdMonReg"|"1.0.3"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OrdNor"|"2.0"|NA|"mvtnorm, corpcor, Matrix, GenOrd"|"stats"|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OrdinalLogisticBiplot"|"0.4"|NA|"R (>= 2.15.1),mirt,MASS,NominalLogisticBiplot"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OrgMassSpecR"|"0.4-4"|NA|"R (>= 3.0.0)"|NA|NA|"lattice, knitr"|NA|"BSD_2_clause + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OriGen"|"1.4.3"|NA|"maps, ggplot2"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OrthoPanels"|"1.0-0"|NA|"R (>= 3.1.0)"|"MASS"|NA|"testthat, knitr"|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OutbreakTools"|"0.1-14"|NA|"R (>= 3.0.0), methods, ggplot2, network, knitr"|"utils, RColorBrewer, ape, reshape2, sna, plyr, ggmap, scales,
rjson, networkDynamic, RCurl"|NA|"EpiEstim"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OutlierDC"|"0.3-0"|NA|"R (>= 3.0.0), methods, survival, quantreg, Formula"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OutlierDM"|"1.1.1"|NA|"R (>= 3.1.0)"|"quantreg, MatrixModels, outliers, pcaPP, methods, graphics"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OutrankingTools"|"1.0"|NA|"igraph"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"OxyBS"|"1.0"|NA|"R (>= 3.2.2)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PACBO"|"0.1.0"|NA|"mnormt"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PACVB"|"1.1.1"|NA|"Rcpp, MASS"|NA|"Rcpp, RcppArmadillo, BH"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PAC"|"1.0.5"|NA|NA|"Rcpp (>= 0.12.2),NMF,RJSONIO,data.table,dplyr"|"Rcpp"|"knitr"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PAFit"|"0.8.6"|NA|"R(>= 2.10.0)"|"Rcpp (>= 0.11.3) , grDevices, graphics, stats, RColorBrewer,
VGAM"|"Rcpp"|"R.rsp"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PAGI"|"1.0"|NA|"R (>= 2.15.1),igraph"|NA|NA|"Matrix"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PAGWAS"|"2.0"|NA|"lars, foreach, mnormt"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PANDA"|"0.9.9"|NA|NA|"GO.db, cluster"|NA|NA|NA|"Artistic-2.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PANICr"|"0.1.3"|NA|"R(>= 2.10.0)"|"MCMCpack, xts, coda"|NA|"knitr, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PARSE"|"0.1.0"|NA|"R (>= 3.0.0)"|"stats, mvtnorm, gplots, foreach, doParallel, grDevices, utils"|NA|NA|NA|"CC0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PASWR2"|"1.0.2"|NA|"R (>= 2.10), lattice, ggplot2"|"e1071"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PASWR"|"1.1"|NA|"e1071, MASS, lattice"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PAS"|"1.2"|NA|"R (>= 2.10), glmnet"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PASenseWear"|"1.0"|NA|"R (>= 3.2.5), ggplot2"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PATHChange"|"1.0"|NA|NA|"stringr, rlist, VennDiagram, grDevices, stats, utils, grid"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PAWL"|"0.5"|NA|"methods, mvtnorm, foreach, reshape, ggplot2"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PAactivPAL"|"2.0"|NA|"R (>= 2.10)"|"stats"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PBD"|"1.2"|NA|"R (>= 3.0)"|"deSolve, ade4, ape, DDD, phytools, graphics, stats, utils"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PBIBD"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PBImisc"|"1.0"|NA|"R (>= 2.8.0)"|"lme4, Matrix"|NA|"ggplot2, ca, lattice"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PBSadmb"|"0.68.104"|NA|"R (>= 2.15.0), PBSmodelling (>= 2.65)"|"methods"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PBSddesolve"|"1.11.29"|NA|"R (>= 2.15.0)"|NA|NA|"PBSmodelling"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PBSmapping"|"2.69.76"|NA|"R (>= 2.15.0)"|NA|NA|"foreign, maptools, deldir"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"PBSmodelling"|"2.67.266"|NA|"R (>= 2.15.0)"|"methods, tcltk, XML"|NA|"PBSmapping, deSolve, KernSmooth"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
